Nome,Preço,Link,Imagem
Camisola GALLERÍA,"44,90 €",https://www.supermonas.pt/product/camisola-galleria,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/98f175c-163843-036c790f-6da5-42fa-ba29-351265efdccc.jpeg
Calças HAZLO - cinza,"43,90 €",https://www.supermonas.pt/product/calcas-hazlo-2,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/f141408-163725-5bcbf6ab-919b-466a-ba32-f6818e1330d5.jpeg
Cinto/Colar ALGO MÁS,"28,91 €",https://www.supermonas.pt/product/cinto-colar-algo-mas,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/fc16d32-132742-img_4343.jpeg
Cinto/Colar CONEJO,"25,90 €",https://www.supermonas.pt/product/cinto-colar-conejo,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/3a13e33-132348-img_4327.jpeg
Cinto/Colar REAL,"25,90 €",https://www.supermonas.pt/product/cinto-colar-real,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/766f26b-132237-img_4313.jpeg
Colar LA REINA,"32,90 €",https://www.supermonas.pt/product/colar-la-reina,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/57949ee-130430-img_4307.jpeg
Pulseira BUENA SUERTE,"24,90 €",https://www.supermonas.pt/product/pulseira-buena-suerte,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/6b02e06-130054-img_4302.jpeg
Pulseira AMOR MÍO,"22,90 €",https://www.supermonas.pt/product/pulseira-amor-mio,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/8137d24-130024-img_4299.jpeg
Camisola PLUMÓN (LUMINA) - branca,"32,90 €",https://www.supermonas.pt/product/camisola-plumon-2,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/ed34227-124100-img_0481.jpeg
Camisola ADORNOS (LUMINA) - branca,"32,90 €",https://www.supermonas.pt/product/camisola-adornos-2,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/800667b-124508-img_0587.jpeg
Blazer NO ME LLAMES (MOCHY) - preto,"34,90 €",https://www.supermonas.pt/product/blazer-no-me-llames-mochy-preto,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/c2150db-121819-img_0684.jpeg
Camisa ESPALDA LIBRE - branca,"34,90 €",https://www.supermonas.pt/product/camisa-espalda-libre-branca,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/6fc5473-161937-img_4147.jpeg
Camisa MANOS LARGAS preta,"34,90 €",https://www.supermonas.pt/product/camisa-manos-largas-3,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/c977c28-161830-img_4155.jpeg
Camisa ESPALDA LIBRE - preta,"34,90 €",https://www.supermonas.pt/product/camisa-espalda-libre-preta,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/76246f6-161615-img_4139.jpeg
Camisa MANOS LARGAS - branca,"34,90 €",https://www.supermonas.pt/product/camisa-manos-largas-branca,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/2b7f6da-161250-img_4131.jpeg
Blazer CUIDO DE TI,"86,90 €",https://www.supermonas.pt/product/blazer-cuido-de-ti,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/3a42400-171608-ceb411b3-5d3f-468b-a367-a849c25d635d.jpeg
Casaco ME DUELE,"79,90 €",https://www.supermonas.pt/product/casaco-me-duele,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/c594356-171426-855d58cb-af1e-4927-be18-a3f5a35d3b65.jpeg
Calças HAZLO - brancas,"43,90 €",https://www.supermonas.pt/product/calcas-hazlo,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/3fb401d-171728-88e01d8a-ec7f-41b7-9dfb-b295630a506a.jpeg
Blazer MEJOR DE TI,"69,90 €",https://www.supermonas.pt/product/blazer-mejor-de-ti,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/f3aa42c-171327-4dd64847-16a2-4a03-9f30-3ec1f64a6ddc.jpeg
Vestido INOLVIDABLE,"56,90 €",https://www.supermonas.pt/product/vestido-inolvidable-3,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/a5dcbd1-200704-img_0162.jpeg
Calças VAMOS A BAILAR - bege,"34,90 €",https://www.supermonas.pt/product/calcas-vamos-a-bailar,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/cc41a8a-122850-img_0323.jpeg
Calças NO TE CONFUNDAS,"39,90 €",https://www.supermonas.pt/product/calcas-no-te-confundas,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/95cc04f-123443-98cb8f56-baa2-46f5-82b4-2243fbaca67c.jpeg
Camisola ADORNOS (LUMINA) - preta,"32,90 €",https://www.supermonas.pt/product/camisola-adornos,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/a81fdee-124714-img_0514.jpeg
Camisola PLUMÓN (LUMINA)- preta,"32,90 €",https://www.supermonas.pt/product/camisola-plumon,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/19a4c3e-124343-img_0541.jpeg
Top ME AYUDE,"18,91 €",https://www.supermonas.pt/product/top-me-ayude,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/c38e68a-125322-img_0300.jpeg
Top SUSPIRO,"14,90 €",https://www.supermonas.pt/product/top-suspiro,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/8387f74-154311-img_5016.jpeg
Calças NO TE CONTÉ,"39,90 €",https://www.supermonas.pt/product/calcas-no-te-conte,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/0256778-163232-img_4164.jpeg
Top NO TE CONTÉ,"32,90 €",https://www.supermonas.pt/product/top-no-te-conte,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/59d45ad-163128-img_4166.jpeg
Camisola de malha MAMACITA,"34,90 €",https://www.supermonas.pt/product/camisola-de-malha-mamacita,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/28fba66-212902-59ac29a5-5aa8-43c6-a365-4d90470cfd57.jpeg
Boné CON AMOR,"32,90 €",https://www.supermonas.pt/product/bone-con-amor,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/a8996d1-152932-2933287a-afd6-4afa-afe3-4f2fcfa3a6b7.jpeg
Boné ANGEL,"32,90 €",https://www.supermonas.pt/product/bone-angel,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/721fcd3-152704-caf722fa-f853-4c34-8d56-7e174417b464.jpeg
